DATA,ATIVO,COTAS,VLR COTA
2018-05-30 00:00:00,BBAS3,,
2018-05-30 00:00:00,EDGA11,,
2018-06-01 00:00:00,,,
2018-06-01 00:00:00,ITSA4,100.0,10.15
2018-06-05 00:00:00,,,
2018-06-05 00:00:00,HGTX3,100.0,17.82
2018-06-05 00:00:00,ITSA4,206.0,
2018-06-07 00:00:00,,,
2018-06-07 00:00:00,SPTW11,10.0,70.6
2018-06-12 00:00:00,FIGS11,9.0,67.88
2018-06-14 00:00:00,BCFF11,,
2018-06-14 00:00:00,FIGS11,,
2018-06-14 00:00:00,VISC11,,
2018-06-14 00:00:00,RBGS11,,
2018-06-14 00:00:00,SDIL11,,
2018-06-18 00:00:00,FIGS11,6.0,65.6
2018-06-21 00:00:00,,,
2018-06-21 00:00:00,SDIL11,11.0,81.5
2018-06-27 00:00:00,HGTX3,,
2018-06-27 00:00:00,,,
2018-06-27 00:00:00,SPTW11,10.0,72.0
2018-06-28 00:00:00,VISC11,10.0,99.82
2018-06-29 00:00:00,BBAS3,,
2018-06-29 00:00:00,EDGA11,,
2018-07-02 00:00:00,ITSA4,,
2018-07-02 00:00:00,NTNB,,
2018-07-03 00:00:00,,,
2018-07-03 00:00:00,NTNB,,
2018-07-03 00:00:00,HGTX3,30.0,14.39
2018-07-05 00:00:00,,,
2018-07-05 00:00:00,SDIL11,10.0,88.78
2018-07-05 00:00:00,SAPR4,100.0,8.92
2018-07-06 00:00:00,SPTW11,,
2018-07-11 00:00:00,,,
2018-07-11 00:00:00,FIGS11,10.0,68.5
2018-07-11 00:00:00,XPLG11,5.0,96.0
2018-07-13 00:00:00,RBGS11,,
2018-07-16 00:00:00,VISC11,,
2018-07-16 00:00:00,SDIL11,,
2018-07-16 00:00:00,FIGS11,,
2018-07-16 00:00:00,BCFF11,,
2018-07-18 00:00:00,,,
2018-07-18 00:00:00,XPLG11,5.0,95.5
2018-07-18 00:00:00,SPTW11,10.0,73.6
2018-07-18 00:00:00,NTNB,,
2018-07-20 00:00:00,,,
2018-07-20 00:00:00,RBRR11,5.0,95.7
2018-07-24 00:00:00,MXRF11,50.0,10.03
2018-07-31 00:00:00,EDGA11,,
2018-07-31 00:00:00,,,
2018-07-31 00:00:00,BPFF11,8.0,91.65
2018-08-06 00:00:00,,,
2018-08-07 00:00:00,,,
2018-08-07 00:00:00,SPTW11,,
2018-08-07 00:00:00,BPFF11,,
2018-08-07 00:00:00,BPFF11,7.0,90.1
2018-08-07 00:00:00,MXRF11,50.0,10.1
2018-08-07 00:00:00,NTNB,,
2018-08-08 00:00:00,FIGS11,10.0,66.5
2018-08-09 00:00:00,EDGA11,10.0,38.1
2018-08-09 00:00:00,SPTW11,10.0,72.4
"10/08,2018",ABCB4,,
2018-08-10 00:00:00,ABCB4,15.0,12.136666666666667
2018-08-14 00:00:00,XPLG11,,
2018-08-14 00:00:00,VISC11,,
2018-08-14 00:00:00,SDIL11,,
2018-08-14 00:00:00,RBGS11,,
2018-08-14 00:00:00,MXRF11,,
2018-08-14 00:00:00,FIGS11,,
2018-08-14 00:00:00,BCFF11,,
2018-08-15 00:00:00,KLBN4,,
2018-08-15 00:00:00,NTNB,,
2018-08-15 00:00:00,BMEB4,100.0,5.52
2018-08-16 00:00:00,RBRR11,,
