DATA,ATIVO,COTAS,VLR COTA,TOTAL
2017-09-28 00:00:00,BCFF11,25.0,70.11,1752.75
2017-09-28 00:00:00,KLBN4,700.0,3.33,2331.0
2017-10-09 00:00:00,BCFF11,20.0,73.9,1478.0
2017-10-16 00:00:00,TAEE11,35.0,21.97,768.9499999999999
2017-10-20 00:00:00,CMIG3,200.0,8.1,1620.0
2017-10-31 00:00:00,BCFF11,30.0,75.82,2274.6
2017-11-09 00:00:00,VISC11,10.0,102.52,1025.2
2017-11-10 00:00:00,BCFF11,15.0,76.5,1147.5
2017-11-23 00:00:00,ABCB4,100.0,16.57,1657.0
2017-11-27 00:00:00,BCFF11,30.0,78.03,2340.9
2017-11-27 00:00:00,VISC11,10.0,101.1,1011.0
2017-11-29 00:00:00,CMIG3,300.0,6.57,1971.0
2017-12-04 00:00:00,VISC11,10.0,99.3,993.0
2017-12-06 00:00:00,BCFF11,15.0,78.95,1184.25
2017-12-06 00:00:00,ABCB4,100.0,15.91,1591.0
2017-12-11 00:00:00,ABCB4,100.0,15.76,1576.0
2017-12-11 00:00:00,BCFF11,15.0,77.71,1165.6499999999999
2017-12-17 00:00:00,TAEE11,40.0,20.91,836.4
2017-12-26 00:00:00,VISC11,10.0,101.98,1019.8000000000001
2018-01-04 00:00:00,BCFF11,30.0,79.05,2371.5
2018-01-23 00:00:00,TAEE11,100.0,20.32,2032.0
2018-01-29 00:00:00,BCFF11,15.0,80.8,1212.0
2018-02-06 00:00:00,KLBN4,300.0,3.18,954.0
2018-02-07 00:00:00,VISC11,10.0,109.89,1098.9
2018-02-09 00:00:00,ABCB4,10.0,12.46,124.60000000000001
2018-02-16 00:00:00,BCFF11,15.0,84.94,1274.1
2018-02-22 00:00:00,BCFF11,15.0,84.99,1274.85
2018-02-26 00:00:00,BCFF11,20.0,84.99,1699.8
2018-02-27 00:00:00,BCFF11,25.0,84.36,2109.0
2018-03-02 00:00:00,RBGS11,20.0,49.1,982.0
2018-03-05 00:00:00,ABCB4,100.0,18.87,1887.0
2018-03-07 00:00:00,RBGS11,25.0,49.87,1246.75
2018-03-09 00:00:00,BCFF11,30.0,83.05,2491.5
2018-03-13 00:00:00,EDGA11,26.0,46.69,1213.94
2018-03-13 00:00:00,SDIL11,10.0,102.03,1020.3
2018-03-20 00:00:00,ECOR3,200.0,8.35,1670.0
2018-03-23 00:00:00,BCFF11,1.0,85.15,85.15
2018-03-27 00:00:00,SDIL11,10.0,101.4,1014.0
2018-04-05 00:00:00,ITSA4,45.0,7.8,351.0
2018-04-05 00:00:00,BCFF11,19.0,88.0,1672.0
2018-04-30 00:00:00,EDGA11,20.0,44.78,895.6
2018-05-04 00:00:00,VISC11,10.0,107.41,1074.1
2018-05-07 00:00:00,FIGS11,20.0,78.03,1560.6
2018-05-08 00:00:00,FIGS11,25.0,77.02,1925.5
2018-05-17 00:00:00,TAEE11,50.0,18.9,944.9999999999999
2018-05-18 00:00:00,SDIL11,10.0,93.7,937.0
2018-05-24 00:00:00,SDIL11,10.0,88.22,882.2
2018-05-25 00:00:00,ECOR3,100.0,8.01,801.0
2018-06-01 00:00:00,ITSA4,100.0,10.15,1015.0
2018-06-05 00:00:00,HGTX3,100.0,17.82,1782.0
2018-06-07 00:00:00,SPTW11,10.0,70.6,706.0
2018-06-12 00:00:00,FIGS11,9.0,67.88,610.92
2018-06-18 00:00:00,FIGS11,6.0,65.6,393.59999999999997
2018-06-21 00:00:00,SDIL11,11.0,81.5,896.5
2018-06-27 00:00:00,SPTW11,10.0,72.0,720.0
2018-06-28 00:00:00,VISC11,10.0,99.82,998.1999999999999
2018-07-03 00:00:00,HGTX3,30.0,14.39,431.70000000000005
2018-07-05 00:00:00,SDIL11,10.0,88.78,887.8
2018-07-05 00:00:00,SAPR4,100.0,8.92,892.0
2018-07-11 00:00:00,FIGS11,10.0,68.5,685.0
2018-07-11 00:00:00,XPLG11,5.0,96.0,480.0
2018-07-18 00:00:00,XPLG11,5.0,95.5,477.5
2018-07-18 00:00:00,SPTW11,10.0,73.6,736.0
2018-07-20 00:00:00,RBRR11,5.0,95.7,478.5
2018-07-24 00:00:00,MXRF11,50.0,10.03,501.49999999999994
2018-07-31 00:00:00,BPFF11,8.0,91.65,733.2
2018-08-07 00:00:00,BPFF11,7.0,90.1,630.6999999999999
2018-08-07 00:00:00,MXRF11,50.0,10.1,505.0
2018-08-08 00:00:00,FIGS11,10.0,66.5,665.0
2018-08-09 00:00:00,EDGA11,10.0,38.1,381.0
2018-08-09 00:00:00,SPTW11,10.0,72.4,724.0
2018-08-10 00:00:00,ABCB4,15.0,12.136666666666667,182.05
2018-08-15 00:00:00,BMEB4,100.0,5.52,552.0
2018-08-16 00:00:00,EDGA11,10.0,38.55,385.5
2018-08-20 00:00:00,ABCB4,60.0,14.93,895.8
2018-08-20 00:00:00,MXRF11,30.0,10.11,303.29999999999995
2018-08-31 00:00:00,BCFF11,10.0,77.9,779.0
